Qg6
Bd5
Qh8+
Qa8+
Bxd6
Qc6
Qxb4
Bh6
Bxe7
cxd5
Ne6+
Nxb1
Kb3
Qd7+
Kc6
Ne8
Kd2
Nxe5
Qxe5
f8=Q+
Bd6
Rb5+
b5
c6
Na7
Qf5
Qxe6
Qc8+
Ng8
Ke7
Nh4
Nxb5
Kxf5
Kd2
Be5
Kh8
Rh8
Nc7+
Ba7
Rxe4
Qa1+
Bxd5
Qxe7
Kb6
Kg2
Kf2
Re8+
Qc8
Qd2+
Qxf2+
Kxh7
Rg8
Bf4
Rfe8
Be3
Nxb4
Qxa6
Qh7
Qf3+
Kc8
Nxa1
Qa6
Bg7
Kxd1
Nf6
Kd8
Qf5+
Qxa1+
Bxe3+
bxa6+
Kc4
Ra3
Qe7+
Rd8
Nd7
f7+
Kh5
Be6
Rb8
Qa5+
Kc8
Bxc7
Kc2
Rf7
Qh5
Kd8
Ke2
Qxf3
Bh7
Kh8
Bf8
Qxe4+
Nh7
Ra1+
Kf8
Rxc8+
Nc8
Qa6
Rd7+
fxe5
Be6
Re2
Be7
Kc2
Kg2
Qf6+
f5
Kh3
Bf7+
Bxc3+
Qg4+
Rh8+
Bg5
Qxf7+
Be8
Nf7
Bxg7
Be2+
Bg7
Qh8
Kc6
Ng7
Qd1+
Rd8
Rd8+
Ke3
Rg8
Bxc8
Rh8
Kf2
Qc8+
Ne8
d5
Nf7+
Ng8
Kf3
Nd4
Qa7
Bxh8
Bg7
Be3
Rb8+
Ke3
Qd3
Qxh1
Kf7
Qd3
Qxe7+
Be5
Qh4+
Bc3
Bxd1+
dxe5
Bh5+
Rd1+
Qf6+
Be5
Bxc6+
Ke2
Qh1+
Be7
Ne2
Qf3+
Rb3
Qxf6
Qg8
Bc8
Qg7+
Kg7
Kxc4
Qe4
Kg4
Qxh7+
Kf4
Qa4+
Kc4
Ke3
Kd2
Kh4
Qe6+
Ke2
Nxe3+
Re8
Qh8
e4+
Nf6
Ng5
Qxa1
Nf6
Bg8
Bh6
Qxb1+
Kxe7
Ba8
Kf8
Kd3
Qgh8
Kf6
Re5+
Qf8+
