Qg6
Bd5
Qh8+
Qa8+
Bxd6
Qc6
Qxb4
Bh6
Bxe7
cxd5
Ne6+
Nxb1
Kb3
Qd7+
Kc6
Ne8
Kd2
Nxe5
Qxe5
f8=Q+
