Qg6
Bd5
Qh8+
Qa8+
Bxd6
Qc6
Qxb4
Bh6
Bxe7
cxd5
Ne6+
Nxb1
Kb3
Qd7+
Kc6
Ne8
Kd2
Nxe5
Qxe5
f8=Q+
Bd6
Rb5+
b5
c6
Na7
Qf5
Qxe6
Qc8+
Ng8
Ke7
Nh4
Nxb5
Kxf5
Kd2
Be5
Kh8
Rh8
Nc7+
Ba7
Rxe4
