Bd5
Qh8+
Qa8+
Qc6
Bxe7
cxd5
Nxb1
Kc6
Qxe5
Bd6
c6
Na7
Qf5
Qxe6
Ng8
Ke7
Nh4
Nxb5
Kxf5
Be5
Qa1+
Kf2
Qc8
Qd2+
Kxh7
Rg8
Rfe8
Be3
Nxb4
Qxa6
Qh7
Nxa1
Bg7
Qxa1+
Kc4
Ra3
Qe7+
Rd8
Nd7
f7+
Kh5
Be6
Rb8
Kc8
Bxc7
Kc2
Rf7
Qh5
Kd8
Ke2
Bh7
Kh8
Bf8
Qxe4+
Nh7
Ra1+
Rxc8+
Nc8
Qa6
Be6
Kg2
Qf6+
f5
Kh3
Bf7+
Bxc3+
Qg4+
Rh8+
Bg5
Qxf7+
Be8
Nf7
Bxg7
Bg7
Qh8
Kc6
Ng7
Rd8
Rd8+
Ke3
Kf2
Ne8
Nf7+
Qa7
Bxh8
Bg7
Be3
Rb8+
Ke3
Qd3
Qxh1
Kf7
Qd3
Qxe7+
Be5
Qh4+
Bc3
dxe5
Rd1+
Bxc6+
Ke2
Qh1+
Ne2
Qf3+
Rb3
Qxf6
Qg8
Bc8
Kg4
Qa4+
Nxe3+
Re8
Qh8
Nf6
Ng5
Qxa1
Nf6
Bg8
Bh6
Qxb1+
Kxe7
Re5+
Qf8+
Qc8
Bd2+
Kf8
Bxh8
Kh2
Kb1
Qxc4
Bc5+
Rh8
Bf1+
Qc8+
Re3
Kh4
Nf6
Ke3
Qxe2
Kg8
hxg5
Qh4+
Ne4
Nc4
Qxg7+
Ba6
Kxe5
Qxb5
Bf8
Kd4
Bxc7
Qg8
Rf8
Bg8
Bh6
Qe5+
Nc6
f5
Qxe4+
Ng5
Rg8
Bxf1
Rh8
Rb7+
Rh8+
Kf2
Nh8
Nxd7
Kh2
Rh8+
Kd3
Qg8
Nf7
Qh8
Bd3
Qd8+
Kf5
Kg6
Kc4
Nc7+
Kb7
Re7
Qh8
Rd5
Qa5+
Qxe7+
Nf7
Bg2
Qf8
Bg6
Qc7
Nh5
Qxe3+
Qxe7+
Rfe8
Nf6
Nxf2
Ke7
Qh8
exd6
